Iterations,Treaps,AVL,BST
500, 2.34728, 1.32636, 2.45188
1000, 2.36071, 1.31786, 2.2
1500, 2.33603, 1.32564, 2.32333
3000, 2.47969, 1.32431, 2.39612
3500, 2.45099, 1.31144, 2.39401
4000, 2.37244, 1.32025, 2.29603
4500, 2.50331, 1.3119, 2.36444
5000, 2.46916, 1.3212, 2.40647
5500, 2.39209, 1.31798, 2.37969
6000, 2.47164, 1.29956, 2.47026
6500, 2.35424, 1.32455, 2.44919
7000, 2.44253, 1.32431, 2.39661
7500, 2.46252, 1.30678, 2.45158
8000, 2.42347, 1.32818, 2.37624
9000, 2.50325, 1.31463, 2.47054
9500, 2.46472, 1.32499, 2.48258
10000, 2.42167, 1.31084, 2.39371
500, 2.2847, 1.33096, 2.64413
1000, 2.5205, 1.30838, 2.42068
1500, 2.35755, 1.32757, 2.60092
3000, 2.44791, 1.3249, 2.43496
3500, 2.50273, 1.3406, 2.50768
4000, 2.42927, 1.31397, 2.44213
4500, 2.35967, 1.32037, 2.39778
5000, 2.47609, 1.32524, 2.39882
5500, 2.41141, 1.31932, 2.42176
6000, 2.43358, 1.32165, 2.42589
6500, 2.46671, 1.32347, 2.35987
7000, 2.46428, 1.32959, 2.40104
7500, 2.49079, 1.32685, 2.43043
8000, 2.48732, 1.32634, 2.46341
9000, 2.49719, 1.32706, 2.4358
9500, 2.47576, 1.30955, 2.39651
10000, 2.48034, 1.34015, 2.36783
500, 2.54815, 1.3037, 2.6037
1000, 2.27668, 1.28458, 2.45455
1500, 2.42838, 1.31963, 2.37798
3000, 2.44142, 1.31335, 2.42098
3500, 2.49033, 1.3295, 2.47521
4000, 2.54057, 1.32182, 2.49616
4500, 2.37082, 1.31944, 2.34513
5000, 2.47555, 1.31987, 2.39614
5500, 2.54952, 1.32366, 2.41981
6000, 2.44057, 1.32559, 2.41386
6500, 2.49116, 1.3423, 2.40678
7000, 2.45351, 1.32189, 2.37339
7500, 2.41778, 1.31934, 2.32145
8000, 2.40724, 1.32938, 2.4396
9000, 2.51808, 1.33424, 2.30772
9500, 2.47121, 1.32184, 2.36745
10000, 2.40834, 1.3287, 2.26937
500, 2.22843, 1.34518, 2.13706
1000, 2.51054, 1.30679, 2.2178
1500, 2.34419, 1.32558, 2.44186
3000, 2.5152, 1.3522, 2.44764
3500, 2.49748, 1.32101, 2.33193
4000, 2.49107, 1.32094, 2.3817
4500, 2.47637, 1.33232, 2.28125
5000, 2.40528, 1.32686, 2.23292
5500, 2.4836, 1.3381, 2.25988
6000, 2.40214, 1.33593, 2.25998
6500, 2.37326, 1.32442, 2.14535
7000, 2.32612, 1.30448, 2.1221
7500, 2.50101, 1.34608, 2.17304
8000, 2.39548, 1.32768, 1.99153
9000, 2.39796, 1.30867, 2.18112
9500, 2.46667, 1.28571, 2.14286
10000, 2.13953, 1.32558, 1.98837
