Iterations,Treaps,AVL,BST
500, 1, 0, 0
1000, 2, 1, 0
1500, 1, 2, 0
3000, 1, 1, 1
3500, 1, 2, 0
4000, 2, 2, 0
4500, 2, 1, 1
5000, 1, 2, 1
5500, 2, 2, 1
6000, 2, 2, 1
6500, 2, 3, 1
7000, 2, 3, 1
7500, 3, 3, 1
8000, 3, 4, 0
9000, 3, 3, 1
9500, 3, 4, 1
10000, 4, 4, 2
500, 0, 0, 0
1000, 1, 0, 0
1500, 1, 1, 0
3000, 1, 2, 0
3500, 1, 2, 0
4000, 1, 2, 0
4500, 1, 2, 1
5000, 2, 2, 1
5500, 2, 2, 1
6000, 2, 3, 1
6500, 2, 3, 1
7000, 2, 3, 1
7500, 3, 3, 1
8000, 3, 4, 1
9000, 3, 4, 1
9500, 4, 4, 1
10000, 4, 4, 2
500, 0, 0, 0
1000, 0, 1, 0
1500, 1, 0, 1
3000, 1, 1, 1
3500, 1, 2, 1
4000, 1, 2, 1
4500, 2, 2, 0
5000, 2, 2, 1
5500, 1, 2, 1
6000, 2, 2, 0
6500, 2, 2, 1
7000, 2, 3, 1
7500, 2, 3, 1
8000, 2, 3, 1
9000, 3, 3, 1
9500, 3, 4, 1
10000, 4, 4, 1
500, 0, 1, 0
1000, 0, 1, 0
1500, 0, 1, 0
3000, 1, 1, 0
3500, 2, 1, 1
4000, 1, 2, 1
4500, 1, 2, 1
5000, 2, 2, 0
5500, 1, 2, 1
6000, 1, 2, 1
6500, 2, 2, 1
7000, 2, 2, 1
7500, 2, 2, 1
8000, 2, 2, 1
9000, 2, 3, 1
9500, 3, 2, 2
10000, 2, 3, 2
