Iterations,Treaps,AVL,BST
500, 4016, 3756, 4437
1000, 10381, 8959, 10258
1500, 17610, 14583, 15870
3000, 39784, 32068, 39060
3500, 47336, 38442, 48421
4000, 54697, 44747, 52052
4500, 69729, 51151, 62377
5000, 66924, 57848, 72532
5500, 77469, 63980, 84303
6000, 84878, 70882, 91755
6500, 97660, 77217, 91670
7000, 100760, 84315, 101288
7500, 111474, 90900, 115887
8000, 115621, 97512, 121177
9000, 136835, 111466, 136394
9500, 151773, 118225, 138037
10000, 153332, 124890, 148310
500, 4543, 4119, 4712
1000, 9507, 8915, 10715
1500, 14479, 14077, 16062
3000, 34273, 31636, 35876
3500, 46229, 37512, 44461
4000, 47423, 43746, 53168
4500, 57258, 49658, 56266
5000, 67260, 56278, 72975
5500, 74956, 62595, 73903
6000, 82158, 69162, 79789
6500, 90066, 75083, 90676
7000, 99684, 81404, 98330
7500, 107462, 88670, 111789
8000, 126358, 95161, 115619
9000, 133581, 109026, 133819
9500, 146380, 114705, 139721
10000, 152645, 121622, 151292
500, 4435, 3900, 4288
1000, 8495, 8451, 10245
1500, 14497, 13693, 14562
3000, 36798, 30473, 37268
3500, 40926, 36631, 41689
4000, 50763, 42432, 50457
4500, 57417, 47966, 55300
5000, 63385, 54293, 60747
5500, 73168, 60424, 75843
6000, 81166, 66648, 86391
6500, 91750, 72837, 86261
7000, 94545, 78755, 114421
7500, 105161, 84806, 100627
8000, 110200, 91780, 108096
9000, 136064, 103278, 123958
9500, 133135, 111076, 144117
10000, 148435, 116651, 140246
500, 3632, 3602, 3027
1000, 8835, 8375, 8228
1500, 14049, 12976, 15474
3000, 34419, 29148, 29784
3500, 38493, 34593, 42219
4000, 47968, 40867, 50697
4500, 54335, 45021, 54703
5000, 63172, 50545, 62197
5500, 67759, 55159, 68382
6000, 70207, 60044, 74953
6500, 79201, 63955, 78880
7000, 85789, 66570, 80443
7500, 86656, 69954, 83136
8000, 86599, 71184, 75696
9000, 98914, 80431, 90698
9500, 95728, 80814, 96955
10000, 89692, 75519, 86637
