Iterations,Treaps,AVL,BST
500, 17, 9, 17
1000, 16, 11, 16
1500, 20, 12, 21
3000, 22, 13, 21
3500, 24, 13, 29
4000, 24, 13, 21
4500, 28, 14, 28
5000, 24, 14, 27
5500, 23, 14, 26
6000, 23, 14, 28
6500, 27, 14, 26
7000, 26, 15, 26
7500, 26, 14, 25
8000, 26, 15, 26
9000, 29, 15, 33
9500, 28, 15, 28
10000, 29, 15, 27
500, 15, 10, 20
1000, 19, 11, 19
1500, 20, 12, 22
3000, 21, 13, 23
3500, 27, 13, 26
4000, 24, 14, 25
4500, 23, 13, 21
5000, 29, 14, 24
5500, 23, 14, 24
6000, 24, 14, 25
6500, 26, 14, 23
7000, 24, 14, 25
7500, 32, 15, 25
8000, 30, 14, 24
9000, 28, 15, 27
9500, 26, 15, 26
10000, 28, 15, 25
500, 17, 10, 19
1000, 17, 10, 18
1500, 19, 11, 21
3000, 22, 13, 23
3500, 23, 13, 25
4000, 24, 13, 24
4500, 22, 13, 24
5000, 26, 13, 21
5500, 27, 14, 27
6000, 25, 14, 27
6500, 23, 14, 23
7000, 24, 13, 27
7500, 28, 14, 22
8000, 24, 14, 22
9000, 27, 14, 26
9500, 25, 14, 25
10000, 25, 15, 22
500, 16, 9, 13
1000, 22, 11, 18
1500, 17, 11, 16
3000, 22, 12, 23
3500, 19, 13, 22
4000, 24, 13, 23
4500, 23, 12, 22
5000, 23, 13, 21
5500, 23, 12, 21
6000, 21, 12, 20
6500, 21, 11, 20
7000, 19, 11, 18
7500, 22, 11, 16
8000, 17, 10, 13
9000, 16, 10, 16
9500, 13, 9, 15
10000, 10, 8, 10
